"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW","POM","PHI"
"A_154",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAB_001-b",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAB_011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_054",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_058",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_066",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_185",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_206",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_023",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_024",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_025",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_028",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_029",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_030",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_031",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_032",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_033",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_034",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_035",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_036",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_037",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_038",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_042",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_043",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_044",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_045",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_046",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_047",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_048",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_049",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_050",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_051",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_052",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_054",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_055",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_057",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_058",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_059",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_061",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_002",2004.63279218029,2600.05025106873,27.6366667051173,40.2231273166471,80.5301764779729,50.0950685601238,305.593770373741,11.5825519617601,73.2731099925049
"ACC_003",1593.07773249042,1814.31912715299,27.0112985264395,45.1565286425198,82.7207450407614,49.9606582323006,217.942387818414,11.5914784668262,71.3677712273641
"ACC_004",1535.64826799529,1705.13266172041,27.0514368278536,40.8066716742388,82.0454884640368,53.8122234096029,208.390789327751,11.5875109793663,71.5265930077095
"ACC_005",1984.58269204735,2537.40901991595,27.3535402488354,40.8397559837343,81.1024598307227,60.1449937629229,291.541951682285,11.5911412702299,74.8501113495101
"ACC_006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_007",1830.8419507811,2285.68074553157,27.5789697939082,40.1112108641979,80.8819306636412,44.1003278568821,271.850519708197,11.591718633222,75.6347377948816
"ACC_008",1903.09601900857,2538.13177596605,27.8541749014668,40.2451572251475,81.2410944554371,53.334616608467,291.298562657588,11.5919449200402,73.8618719753299
"ACC_009",2007.0928791726,2605.66760809092,27.672490662671,42.879158041911,81.9047492291228,52.8076942812182,305.261707778633,11.5831376161996,77.150684418183
"ACC_010",1916.65273425093,2335.35189573773,27.196798557408,40.3587372979418,80.915867981993,48.7856803515476,274.744979168672,11.5965864437372,74.9406678934694
"ACC_011",1696.84786915781,2076.36286757841,27.7174544048137,39.5573811787165,81.3432334169321,51.1180033873553,244.547754086568,11.5887643197597,74.3040217292191
