"line","YDHPL","YDHA","PLHA","DF","TSW"
"ACC_002",1458.77228141924,2259.4849716016,28.1041459312171,37.6555485716675,210.791604680899
"ACC_003",1459.90643803209,1897.89609983783,27.973394756185,NA,176.949423901009
"ACC_004",1385.0699816691,1794.17340782264,27.977962815747,38.3961211025242,166.480052644674
"ACC_005",1414.02996618639,1898.24752126957,28.0308864492525,38.3382207335176,177.041928052139
"ACC_007",1417.91524603927,1999.91416008987,28.0870562293397,38.0441077868257,186.153438415708
"ACC_008",1588.79422678241,2238.81393362033,27.9974422568041,38.2231899347545,206.554509986096
"ACC_009",1535.83033487691,2060.14936030593,28.0187013825665,38.8813876601087,192.664338454622
"ACC_010",1424.81046031017,2137.19807035405,28.1035680821546,38.1837907058628,199.024167801508
"ACC_011",1494.13130992508,2016.60357416591,28.0177090821835,37.7849828089752,187.590087875893
"ACC_012",1518.30288755273,2137.60678040348,28.0480455706501,38.2846822962459,198.935681446775
"ACC_014",1631.35065983795,1933.3484162047,27.9201339582572,38.8001121727522,180.418171274204
"ACC_017",1174.48327371743,1402.93793817316,27.9804868186321,37.8012624664983,130.756338134593
"ACC_018",1521.0959119373,2127.2899395917,28.0444173432642,38.2702465186404,198.166921485601
"ACC_022",1630.96555294908,2428.68902469459,28.0625875243379,37.7538506992658,226.50483916808
"ACC_023",1402.23091128455,1824.83492859501,27.9995389155563,38.8739075934088,169.343199592015
"ACC_024",1433.02909495381,1992.93414592044,28.03623398153,37.7125640577057,185.36686754444
"ACC_025",1359.35385878734,1919.17186286941,28.079276355047,38.3965392045277,179.327411507387
"ACC_026",1637.94483176282,2237.39346993605,27.9795198430068,38.104647818748,208.48216094471
"ACC_027",1233.94734697281,1514.9655979347,28.0054005767748,38.0182763611454,141.201874230233
"ACC_028",1489.63888730239,2204.13152308265,28.0522644604223,38.0702154205869,205.978773944911
"ACC_029",1347.42244125676,1851.51250207452,28.081044293673,37.6965815157099,172.828492318266
"ACC_030",1269.46060709949,1702.14006936464,28.0506189021178,38.8743013691223,158.578627105498
"ACC_031",1483.28622808839,2182.71256674365,28.0567136343154,38.8343612222919,203.105692254543
"AFR_298",1720.06507133301,2437.09685072215,28.0249151349266,37.7280849438975,227.302996082797
"AFR_619",1636.78679709388,2209.87695392033,27.9668212509675,39.0877216977157,204.602765339238
"AFR_708",1424.20039711924,1870.73365871402,27.9871535448459,NA,173.978863990629
"AFR_722",1747.32891525916,2366.12501262515,27.9708816587765,38.7958938422986,220.757302446468
"AFR_735",1511.87047628603,2187.5070484219,28.061258824316,38.570760622303,203.451944651396
"AMADEUS",1694.93523925762,2813.5101297097,28.1222646912696,NA,262.874218502211
"BFS_081",1965.15285013245,2927.32778419233,28.1886667444185,39.1232940519281,272.227451301354
"BRB_191",1205.86552724678,1717.12456054575,28.1337393263021,39.182857132062,159.790296410624
"BRB_198",1233.01613033796,1591.97825048167,28.0583389584143,NA,147.530486494963
"BRB_215",1359.62759533515,1918.82045016862,28.1493871084463,38.0830781817905,178.896479505454
"BRB_264",1469.75894664335,2054.79986211951,28.0490671338989,37.694276691901,191.534600977381
"CAL_096",1937.1182281195,2751.96773306533,28.0032591747074,38.223605407162,256.791607143385
"CAL_143",1572.20509508446,2129.22881381478,27.9889472712308,38.6356899268283,198.371726440546
"CMB_004",1435.22334633678,2172.89474569924,28.0758029466703,38.4641872585265,201.272948742958
"CMB_006",1415.62096213123,1715.05390291044,27.9497840461148,39.017014029887,159.457964874179
"CMB_010",1744.39177905473,2319.71500318497,27.9440350389088,37.8187861560092,216.838094812655
"CMB_012",1440.80833095061,1870.66609470427,28.0002844667963,NA,174.099040871814
"CMB_014",1528.63213577755,1953.51512780565,27.9312920018463,37.3699271013496,182.016083175811
"CMB_016",1541.71874673663,1993.64038487494,28.0131796135288,38.5201694477656,184.764436762536
"CMB_018",1527.7150035277,2030.14310213867,27.9692582868606,38.7691937083498,189.635132579343
"CMB_025",1505.59247662609,1926.31778694721,27.9505730801575,38.4142383089457,179.595035179495
"CMB_036",1534.3899413787,1910.68767101166,27.955425858712,38.4109186427694,181.000207146045
"CMB_043",1813.0013444462,2378.82433653207,27.9387267606594,39.0545352626054,220.876738135745
"CMB_045",1763.0138278269,2143.75787273413,27.912200178223,38.046368591001,200.050755816731
"CMB_050",1220.19632709595,1647.74262844396,28.1179057108359,NA,152.890072324477
"CMB_057",2213.76697317846,2649.7422501604,27.890946081797,NA,245.793082709585
"CMB_073",1449.58511615071,1913.70117319845,28.0008279172839,38.7994972280349,177.95281836575
"CMB_080",1840.69469593549,2489.41949379,27.9702059886544,38.4444132148981,231.987940038565
"CMB_095",1317.3760032494,1802.44766048975,28.1039652609147,38.8127721194373,169.095528284907
"CMB_103",1552.15928891763,2130.52043043077,28.0516486722937,38.6752825135629,198.623148620407
"CMB_105",1501.93574176488,2221.71121200905,28.0792150843505,38.0461977133493,207.05629603627
"COS_016",1988.04167935428,2919.1375884495,28.0055539375557,38.0371468999037,272.203653216034
"DAA_001",1841.46695001681,2675.34989084376,27.9971253867869,37.4177050745824,250.814226107186
"DAA_002",1691.68627424869,2347.70799510717,27.9847622409497,37.3374316963943,218.566356921081
"DAA_003",1626.56455373074,2384.55774397391,28.0139093744212,37.469785050351,208.989854200122
"DAA_004",1497.83918741752,2011.09318025329,28.0069205961029,37.6867912205213,187.137054670502
"DAA_005",1394.49348775553,2034.26080902896,28.0977842964347,37.8246202195836,190.574397795832
"DAA_006",1545.27646291883,2305.77685050821,28.0830288127804,38.118544257936,215.287656656062
"DAA_007",1580.79625901755,2366.2407784762,28.071611030866,38.8054031742848,221.641251938179
"DAA_008",1516.40344253776,2100.27244913053,28.0082044155381,38.4907339182886,196.518247632743
"DAA_009",1753.45206918088,2581.57736126628,28.0337904533074,37.3035901875839,241.294898435247
"DAA_010",1624.9763445004,2353.10501068796,28.0428983326083,38.2969948576697,219.387087914436
"DAA_011",1537.51719758955,2203.29540808214,28.0473644674785,38.126724302174,205.134548337602
"DAA_012",1587.17736740809,2331.13096483915,28.0509589341837,37.8504964085627,218.916329979575
