"line","DPM","DF","PLHA","YDHA","YDHPL"
"ACC_001",65.1825318633553,34.775348086319,31.0301871277083,1388.84340496606,1374.62911839322
"ACC_002",61.3480427859241,31.4999049599804,37.5537885061757,1947.85880616617,1709.42536275241
"ACC_003",63.6608125426862,31.9623957644572,32.4332446165875,1942.79747142121,1887.75517442451
"ACC_004",64.3317435979718,34.1039153776372,35.1627118810977,1873.70697072844,1602.29144245272
"ACC_005",62.622161545145,32.3594566193388,33.8873748186748,2098.62126986046,1979.66195144086
"ACC_006",64.9492247178738,33.4807475506192,32.5834075296943,1582.47778466362,1431.21394902064
"ACC_007",64.0491906680257,32.540158685567,34.5703029128968,1868.44128787252,1663.822588015
"ACC_008",63.0618700972955,32.7403561305628,34.209088619679,2165.5327251232,1869.78216705316
"ACC_009",65.5706179149958,34.5806820045708,29.9849848346017,1977.84849743475,2203.06821271576
"ACC_010",65.731580294421,33.3241921990649,35.0058700267314,1556.65451525915,1506.68738194027
"ACC_011",63.7969563810704,32.4879831611221,31.2270981712317,1888.55707705496,1860.20288301028
"ACC_012",65.0381351460163,33.0876032912137,33.5770813717393,1738.90219383165,1480.17008479859
"ACC_013",65.0120545275362,32.4741394805174,31.5621044696519,1867.99000702873,1781.80644432038
"ACC_014",64.0264708006978,34.3047414616756,35.3144273701318,1548.60234185295,1449.47557504006
"ACC_015",66.290164995683,33.83925311693,35.3316248942552,1672.8405581747,1660.09522495121
"ACC_016",64.735470108553,33.4694511726247,33.503690270468,1606.96514700415,1531.5324433614
"ACC_017",61.179897534255,32.0890979525634,30.284312078074,1993.00307143916,1781.89818060963
"ACC_018",61.7656553209939,33.1611508212278,35.9149782517726,2103.48528447833,1807.30065315972
"ACC_019",62.551057539541,32.5321373250359,32.424813561884,1836.92349496313,1741.94724174359
"ACC_020",65.278735101561,33.2480306832381,34.0364211406511,1639.94957884512,1603.23644340908
"ACC_021",65.6179756617939,33.244090035031,33.307642471835,1686.51010285464,1632.83703550364
"ACC_022",61.6075935697983,34.0033341732745,30.8792359875883,2014.58244266496,1958.40791057174
"ACC_023",65.5268930866313,33.0978899600261,33.1583076810504,1744.98370407837,1601.30556088092
