"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW"
"ACC_001",1751.91697423481,1385.71261943934,49.6983013386214,31.3261222585383,63.7288985643135,41.409154817816,465.792849174782
"ACC_002",1667.07977801498,1327.23225640354,51.7001203775337,27.9336260455663,58.619974209998,41.508466350066,444.376176687618
"ACC_003",1968.20844379258,1623.8242500192,46.3368178283191,29.7015987378577,62.7013151450205,45.0023673416792,506.673559586384
"ACC_004",1881.96299869178,1579.99682790597,51.8246186535626,32.1772384391538,68.0983726938307,43.1874696760566,532.853276594069
"ACC_005",2001.64918615777,1715.27590907577,52.1168668954107,29.4797973797439,63.1176162926139,45.7926615803319,561.145109891544
"ACC_006",1570.64464272674,1081.22076390058,45.0807556969107,32.0077300080253,63.3760224245975,39.8169436296545,379.673372112199
"ACC_007",1815.27885835068,1343.09260260654,50.2095023982134,31.1591803317382,62.9546544601628,38.9590474741698,482.009399773472
"ACC_008",2052.33261596427,1573.59308415656,48.1992210480582,30.8570540297258,63.8791662575799,42.8417288112219,518.087397904393
"ACC_009",2523.11517728075,1736.71802066143,38.129595236564,32.3608325577608,66.9235050950264,42.5519271413174,496.203423308784
"ACC_010",2116.39742727005,1921.67525633549,46.3000038427962,30.3170285061567,63.2056957771117,42.4188112098345,493.312435643364
"ACC_011",2169.57973277518,1817.74946743531,55.6906182455605,28.0264586454273,62.4725138928281,44.3425256914343,624.794217099518
"ACC_012",1747.91669651781,1467.69770708475,52.6765000049669,31.7550937564959,67.2340074843136,45.2158957436223,485.598882236205
"ACC_013",1880.88298202131,1670.44809966154,52.5947479971274,32.1320332694622,65.523797899065,39.6909408195131,513.372166614793
"ACC_014",2428.46140164461,1860.35610710698,40.6625779957508,32.4723862228111,64.6777912583965,40.9201169638004,484.214422762667
"ACC_015",1511.20384006906,1276.92723329884,45.033407534869,32.4721463604033,66.3267923600975,37.9267618749842,351.180118145818
"ACC_016",2204.78954143722,1358.64199603126,42.3597040474454,32.4393418251858,63.7457249104778,39.6895953594547,448.285713310233
"ACC_017",1836.80752636824,1224.92336916588,44.0512110756608,29.5351544290067,59.9073304840393,38.7353113716654,430.460911370068
"ACC_018",2212.55321253896,1839.04924696788,51.3241136599128,30.788338899293,62.3990707959437,39.0400662616135,606.900995173926
"ACC_019",2186.82866223097,1672.83444738872,45.7799470812191,30.9259168625138,61.2412640768921,34.7916857844761,509.294254528631
"ACC_020",1906.2213901633,1525.51756510773,50.5663476092323,31.5118670532448,65.5392306405228,42.3235645156471,491.158254554028
"ACC_022",1994.97072238023,1683.91746423874,50.936438666185,31.5284246323461,61.1483620780259,42.5996268284445,529.682748056071
"ACC_023",2028.15267475171,1800.50439479718,46.370012364832,31.2589523210245,65.2763745744124,44.6001750566851,519.432972124045
"ACC_024",2333.70001421982,1819.84501387392,50.0803541121348,29.3614513455714,63.2705392850496,42.0778924677499,622.676519645056
"ACC_025",1540.78465830137,1443.47170687737,48.8064287559203,29.8680283637371,63.9661721844582,36.7750103150884,391.613233347778
"ACC_026",1906.99068681173,1777.4261298848,48.5781727779925,31.5107158028053,66.207707052825,40.073625512478,483.770709116794
"ACC_027",1649.52527326234,1675.97917791288,55.1839318009756,32.1188191922498,68.5725488743425,43.3849458248771,475.340705631139
"ACC_028",1824.17568978225,1497.42957495466,55.4198534762348,30.4099660058164,61.7579408670093,37.0596404695578,545.682957061029
"ACC_029",1883.34454029981,1683.09221663794,52.4485066955415,29.4232547807216,61.6104962486858,44.8149572820902,520.579510947773
"ACC_030",1908.68442550671,1612.41582402082,52.805113084635,32.4687599655078,68.3924083792483,46.4198531133355,541.634384348697
"ACC_031",2177.08338290921,2029.97620710989,51.2433050120971,30.3043495596887,65.9407239224964,44.5028866387036,602.466982003918
"AFR_298",2287.051703233,2197.10060204744,50.8373155364189,31.0386533074166,63.6908312068809,47.0715780761992,626.294521542312
"AFR_612",1636.14835944195,1018.71949725255,42.603840612182,32.7961642130081,67.1807720718768,38.6863323061173,338.366289375031
"AFR_619",1527.64885606249,1259.75664388252,47.0089812286399,33.7067810962475,65.923743039988,36.2644804539281,370.882547073468
"AFR_722",1738.16551201526,1256.74326982052,47.1847448758393,32.4301933056955,64.4673246297962,44.7548299500863,449.627992642248
"AFR_735",1730.59775283819,1502.38580537625,50.1723337171967,31.8043114509101,65.0563915910612,42.5731928609335,350.235759106693
"BAT_477",2446.31635778508,1856.84217979811,46.4051061185757,36.0871447965873,63.5389680662238,28.9899524713363,563.212209206378
"BRB_189",1777.15950877541,1483.17533374443,51.9840537727521,30.314005074808,61.2943834215003,39.9257245988822,489.323031350197
"BRB_191",1354.28376078208,919.624290080493,47.869221105092,35.7020409665783,68.3835071190813,42.2347275475459,314.01037694527
"BRB_193",1940.3009610687,1289.40978422708,44.4820435379745,29.1942516357436,60.1349881652176,36.6466515525586,466.491512308607
"BRB_198",1731.19930656988,1487.36740913368,52.9831794816392,36.5638203981064,68.4060088841782,45.0165203656157,502.027452843394
"BRB_215",1945.64550468305,1742.79496285401,47.6886800340952,28.9028398312452,63.2533363613517,43.8913975727051,476.655723217265
"BRB_264",1754.61213505961,1299.13605828847,43.9477212069931,30.7376118106838,64.2737590988139,36.3304573727241,414.181141185002
"CAL_096",1996.96656617133,1664.26859430641,50.2451674038541,30.8331687598575,62.1216388202658,45.8000066063681,528.166479680526
"CAL_143",1879.79531492676,1453.27546357694,50.5848585476929,32.4028985945324,67.1424459538321,37.8452569485918,476.709138886223
"COS_016",2123.28958506687,1870.39039531343,47.4087535928661,31.1602469087867,62.4187880837629,37.3731653182787,516.164762067417
"DAB_049",2529.54044578273,2389.59348405195,54.2359085234055,33.5626695139165,63.8546789678836,32.7094712818506,765.452513313437
"DAB_052",2269.58731063167,2122.29168752074,52.5477870016814,36.2492778835004,64.3440907712996,32.1625809086243,652.630699453265
"DAB_053",2038.76889687561,1955.57545886372,51.6902126252833,29.8807903787447,62.4487875126994,48.449301712402,573.482005869284
"DAB_062",2063.63383570589,1994.08407191143,55.4355848297784,29.3942634286703,62.4744129592497,41.2159996261916,623.149444945789
"DAB_064",2793.82639491612,1709.01190717084,42.1036571609468,31.6270462106689,62.9563328345613,45.5033764389391,544.148784221068
"DAB_065",2284.62152760394,1948.64357980743,49.2222717589351,31.8959885912532,64.7187669674108,45.2012178566902,593.12139432415
