"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW","POM"
"ACC_002",1531.70566508943,1473.36209090513,43.6075864023923,32.8793288393604,62.5268343618575,26.202377504512,304.714396460634,11.9709229197787
"ACC_003",1833.36930030307,1686.33056145279,41.7283820974311,32.8833666780546,62.5268452477605,32.1353989813482,350.042750164769,11.4967462330114
"ACC_004",1792.71500793018,1746.09083440648,43.4515831239563,32.8832490304623,62.5268185365182,35.421770912542,355.664494299861,11.4804149912714
"ACC_005",1682.61037249831,1459.88004968531,39.0719593524715,32.8779517022988,62.5269013918981,31.9176141507927,294.07313971885,11.6528061798481
"ACC_007",1735.21016965214,1546.62657083855,40.2920168867831,32.876546173052,62.5269412969307,30.3236824184215,314.739758805455,11.6608728463871
"ACC_008",2057.04988014331,1862.19790831441,37.941047629912,32.8835511108176,62.526950669138,32.5544847001264,368.581238427992,11.5370443988629
"ACC_009",1629.9829499207,1499.04935476386,39.6763233881082,32.882650338386,62.5266654550101,28.2288032875638,297.414810340141,11.5516562679356
"ACC_010",1978.08206560302,1603.68193517032,35.9791359080165,32.8862824713874,62.5270588687174,31.8732310646645,320.104671740629,11.5597175496018
"ACC_011",1839.25066030019,1804.28402823164,40.1504053649833,32.8863736238835,62.5269065862191,29.0589197005458,343.838145702723,11.6933548059856
"ACC_012",1668.63435721582,1586.86096514666,42.7675914381422,32.8820193284902,62.5267252710021,32.484015141839,321.706496106174,11.5004148942725
"ACC_014",1634.11998419298,1364.3179786815,36.3377389816816,32.884042960377,62.5269376858789,26.9252695922592,274.933244600135,11.5637942848114
"ACC_017",1941.40079765146,1832.89340603119,39.2318591670604,32.8846470673374,62.5268253075796,32.0739819250455,364.462415485743,11.6589826142814
"ACC_018",1773.43051987546,1930.8641332883,41.5356696451876,32.8860864873231,62.5268437807105,28.0057663745784,340.324962225425,11.5737227240424
"ACC_022",1808.09929661164,1613.74652378212,39.549869783096,32.8856328087293,62.5268677887398,29.0403883895614,322.638774186619,11.5173082641847
"ACC_023",1974.17146880955,1749.18515948281,35.9293651680076,32.887158224264,62.5268345557343,37.3570993557224,321.368816526086,11.5806148894108
"ACC_024",1992.55969731456,1846.56747722039,40.4867308615361,32.8859195512435,62.526903314066,29.2943850622114,377.273365982917,11.6471345617045
"ACC_025",1756.71587359709,1711.69062800718,40.5196631368481,32.8748551350375,62.526769974568,25.6628725215557,329.446833064343,11.580676020271
"ACC_026",1885.02421284634,1793.99029223641,41.2314908728928,32.8869393303614,62.5268833018944,34.2358572195594,359.656794259673,11.6680156197719
"ACC_027",1599.75046701749,1461.59919068656,39.55997875115,32.8816954006642,62.5268440861859,30.5555083962984,275.307067558879,11.4406413245718
"ACC_028",1611.26922057963,1662.62257461932,43.0567731986628,32.8804512238204,62.5269955259406,27.7113414184298,319.503321017971,11.5938140581028
"ACC_029",1758.51648906299,1696.25114781798,39.2242900622731,32.8761300651797,62.5269635866034,32.7207388780551,315.851134702758,11.584581675264
"ACC_030",1756.16599000099,1676.13466133412,41.4940685972161,32.8868368601364,62.5268947517616,34.6995717927453,336.390360866841,11.5981457706229
"ACC_031",1845.83802820183,1755.1521668242,41.6311708778854,32.8823349225249,62.5269446240224,34.9278632470057,356.364425866301,11.7241245590224
