"line","YDHPL","PLHA","DF","SW100","TSW","POM"
"ACC_004",736.827242523393,42.1722747549436,32.2400230263599,34.0861131666189,149.705887449317,9.85933430873536
"ACC_008",772.332807745026,55.8415463949615,31.21000350927,36.0654849998188,229.898256385232,9.33919228053336
"ACC_022",744.328387008256,46.3865573613809,32.4457303379052,32.5710506420248,169.876512123439,8.56643265232784
"ACC_023",775.809920930365,40.3129514786741,31.4992387862251,37.1760107200245,157.105975174714,10.435329768408
"ACC_026",732.096711440084,57.9298680970726,31.6857469294869,32.2782459023059,216.329125495388,9.68055467775723
"ACC_027",786.685838265196,40.4339836395769,32.1760637101496,34.0577675762268,173.5614134792,8.86428219066011
"ACC_031",755.500136686807,38.4678261349236,31.6589122644376,36.7431514387779,154.695900858859,8.80331553437072
"AFR_298",840.285029720578,42.8420050876565,31.2781356604941,37.1503103222793,185.892162369477,8.80012154019198
"AFR_619",658.707356767776,30.7126004487194,34.0016201855038,37.0762575593318,108.177876123156,5.12665039535638
"AFR_722",730.850080464695,34.407591626988,33.1526130654875,36.6187111294009,119.397842053716,8.0241012794266
"AFR_735",922.058787442997,26.8073372732645,31.7522302525159,35.4369503288934,149.055761543548,7.96238322385
"AMADEUS",769.45322269228,59.1240061636668,NA,21.9953105497491,235.041755202009,10.4418748960462
"CAL_096",873.764076979756,31.7281447232495,31.7511591158846,42.034687328298,140.6353367759,8.06450830035333
"CAL_143",746.361921717833,34.4294713074727,34.2006788787869,31.7570468287068,139.532572988818,7.53868971162201
"CMB_012",720.682982344336,11.1201338185352,33.8321515917647,24.3000228972602,129.174692825194,4.50326274384362
"CMB_018",737.236779435049,31.5148023009762,32.3975386577971,35.9060171648973,123.498844351419,6.51950145724945
"COS_016",661.106198864191,55.2848803588162,31.2641157947705,28.6161272377761,133.764646521922,8.86781642658804
"DAA_002",874.390539658078,36.4099047438406,30.080754197327,32.519828502405,206.349895997353,8.23350227361224
"DAA_003",777.24676821304,47.8752193687083,29.8472841623301,36.2020420479754,177.831674240692,10.3521596174831
"DAA_007",850.510448391552,34.9056713410868,32.5652581650081,35.3465505614957,178.062119331581,8.53551310565489
"DAA_008",865.781553666512,39.0256440899807,31.1248646609349,35.9764684584014,212.652536340455,8.76817128957238
"DAA_009",755.311086255488,36.2356326367706,30.488092889388,34.2368524481417,142.671695796247,8.28775113069236
"DAA_010",775.106672288084,39.4014847781702,32.0740894186729,34.6238841829444,147.796463505999,9.94359247632296
"DAA_012",765.860678186586,39.2281266148181,30.9665025935179,40.7862796502381,169.484847539449,7.8526665967048
"DAA_013",829.054016044517,37.1218923737188,30.0354245319942,33.4008108031049,164.839772049662,7.68124923251331
"DAA_014",839.937261968366,54.7032122007568,30.1086208680982,40.2233665241079,247.807144511452,10.7168500750041
"DAA_015",832.748571341076,56.9435354570445,30.2787098833767,34.5065032041924,250.767512962167,10.2646926459773
"DAA_016",895.428878757686,47.9539572491729,30.3517549418851,34.0461289106453,233.36325757682,9.89828818183175
"DAA_017",809.426418543863,39.5057598343354,30.9878475093071,33.8996388488418,181.856090648532,9.19138915505667
"DAA_018",820.551033869022,59.4533789987717,29.6658053859541,35.5066622412493,260.935257028502,10.8479550620017
"DAA_019",780.123798028028,50.1179007075683,30.4974943396423,32.7450727096694,218.871251467907,9.16020892294117
"DAA_020",723.157233928762,40.1925934947812,30.1420776812419,31.316789412184,143.484134446126,8.33419754997045
"DAA_021",765.933084894854,47.119314686013,29.7363124035537,41.8112703800191,177.799250656336,10.6790560222101
"DAA_022",798.476971774325,37.4561353690809,30.5278630265147,37.9856932432658,144.525653060143,9.20583916050373
"DAA_023",744.351443547691,42.6145143009776,32.1838759387307,36.9438931295428,149.558519529902,8.3243976996636
"DAA_024",849.866315497136,58.721087588105,30.3481740560902,36.4541572887637,266.972260429768,9.44696076141295
"DAA_025",835.544879484667,43.3317664354889,31.3974899796562,32.0029548507738,193.46474748642,9.01797911857822
"DAA_026",833.403950301663,39.3599908660582,31.6838064631087,37.8279700096289,198.412290493705,9.47100808626039
"DAA_028",801.39571269375,53.1176020447635,31.3729745498753,34.825390071278,229.453843801478,9.96599073169796
"DAA_029",783.419063412025,44.4663915787432,29.5169840771086,34.8252553666431,172.196777177059,8.95796808218696
"DAA_030",894.60362913551,44.7061594045002,32.0109620335679,40.0083577792684,245.645040129289,9.14943801920294
"DAA_031",745.508403919148,52.2709864921078,30.5004178747279,33.0009171801034,201.936683491996,9.75521661065779
"DAA_032",711.465964920615,58.5537249873247,30.9246403722256,32.9294307349994,199.500302761896,9.32860100351233
"DAA_033",923.735374246605,53.3876630056281,30.523262101935,37.6485144860883,286.260920872605,11.0344022548188
"DAA_034",803.332802921745,43.6329258001557,30.7208266954741,39.6995309589137,176.258781498802,9.4428638351347
"DAA_035",922.882127462041,39.63798204577,30.7142049624834,36.8969853396019,214.202012064785,10.8085256874113
"DAA_036",798.072441283618,48.901430713299,30.5520177564952,37.9020563292716,216.458909566311,10.6467429816237
"DAA_037",756.932253950172,45.4026323211527,31.1170680624816,33.1328657530503,173.634942041094,10.5527709603147
"DAA_038",915.91641043587,51.0059729228914,30.9012041963128,35.8772234984474,267.709283857136,9.67645379670415
"DAA_039",704.083362228568,47.0203631635367,29.940697512972,33.9333560235257,158.134370586619,8.75825585365559
"DAA_040",806.382122424646,49.9261785659555,30.7632563115442,36.383099723464,196.156927168681,10.5938346101972
"DAA_041",779.280783574248,56.3844631761308,30.5454379173316,34.3297244828225,226.295614184414,10.2059640471622
"DAA_042",809.093229873278,46.5286678994335,31.7113867406601,34.2614709171568,215.379937001507,8.92680682924424
"DAA_043",922.196511752755,49.9948528826404,30.1483193891619,41.2542190634673,265.077151901777,9.79852362740507
"DAA_044",829.559575401126,59.4340649933967,29.7013327459502,35.858444056368,259.392511563652,11.1945830881473
"DAA_045",836.274614884073,54.7978661542447,29.8169975382444,42.2241132717233,250.060247719442,10.4197063887583
"DAA_046",762.439871181778,58.0015569032414,30.5305474760247,41.8487210031652,205.619373637712,10.7884652005455
"DAA_047",825.881922760089,25.9209297578905,31.3157300744275,39.230856382376,120.248072125244,7.55172877416207
"DAA_048",810.478565835905,49.4527244464223,30.3315209141614,37.1539948698654,229.718405763592,10.2398162034013
"DAA_049",830.360032111975,58.2239887397038,30.625126591953,32.8797154352245,268.038701279543,11.2318438788342
"DAA_050",803.066654474372,53.5779067407281,29.5504616432667,33.8804747307795,233.904086376167,10.3280449726747
"DAA_051",746.085803922658,51.838887561566,30.166811595032,34.4764686996532,163.649614189911,10.1283453731098
"DAA_052",792.824989358152,45.734006629396,30.2579827187805,39.1026686797631,195.255844295075,8.9025509907514
"DAA_053",787.5358294233,34.1424459882883,31.5785832520464,34.4248847434122,142.157970390312,5.57362598159661
"DAA_054",873.625226867437,52.2302167447126,30.7290536193806,39.7039899402915,241.60826993436,9.38098195077068
"DAA_055",896.96924015982,46.4855589243324,30.4828566249196,34.582005468824,249.765004661573,10.6605528620929
"DAA_056",807.657448388754,49.5949377252754,30.0351909956064,34.8688704768946,211.802712447433,9.66600717574421
