"line","YDHPL","YDHA","PLHA","DF","SW100","TSW","POM"
"A_154",NA,NA,NA,NA,NA,NA,NA
"AAB_001-b",NA,NA,NA,NA,NA,NA,NA
"AAB_011",NA,NA,NA,NA,NA,NA,NA
"ABD_054",NA,NA,NA,NA,NA,NA,NA
"ABD_058",NA,NA,NA,NA,NA,NA,NA
"ABD_066",NA,NA,NA,NA,NA,NA,NA
"ABD_185",NA,NA,NA,NA,NA,NA,NA
"ABD_206",NA,NA,NA,NA,NA,NA,NA
"ABU_001",NA,NA,NA,NA,NA,NA,NA
"ABU_002",NA,NA,NA,NA,NA,NA,NA
"ABU_003",NA,NA,NA,NA,NA,NA,NA
"ABU_004",NA,NA,NA,NA,NA,NA,NA
"ABU_005",NA,NA,NA,NA,NA,NA,NA
"ABU_006",NA,NA,NA,NA,NA,NA,NA
"ABU_007",NA,NA,NA,NA,NA,NA,NA
"ABU_008",NA,NA,NA,NA,NA,NA,NA
"ABU_009",NA,NA,NA,NA,NA,NA,NA
"ABU_010",NA,NA,NA,NA,NA,NA,NA
"ABU_011",NA,NA,NA,NA,NA,NA,NA
"ABU_012",NA,NA,NA,NA,NA,NA,NA
"ABU_013",NA,NA,NA,NA,NA,NA,NA
"ABU_014",NA,NA,NA,NA,NA,NA,NA
"ABU_015",NA,NA,NA,NA,NA,NA,NA
"ABU_016",NA,NA,NA,NA,NA,NA,NA
"ABU_017",NA,NA,NA,NA,NA,NA,NA
"ABU_018",NA,NA,NA,NA,NA,NA,NA
"ABU_019",NA,NA,NA,NA,NA,NA,NA
"ABU_020",NA,NA,NA,NA,NA,NA,NA
"ABU_021",NA,NA,NA,NA,NA,NA,NA
"ABU_022",NA,NA,NA,NA,NA,NA,NA
"ABU_023",NA,NA,NA,NA,NA,NA,NA
"ABU_024",NA,NA,NA,NA,NA,NA,NA
"ABU_025",NA,NA,NA,NA,NA,NA,NA
"ABU_026",NA,NA,NA,NA,NA,NA,NA
"ABU_027",NA,NA,NA,NA,NA,NA,NA
"ABU_028",NA,NA,NA,NA,NA,NA,NA
"ABU_029",NA,NA,NA,NA,NA,NA,NA
"ABU_030",NA,NA,NA,NA,NA,NA,NA
"ABU_031",NA,NA,NA,NA,NA,NA,NA
"ABU_032",NA,NA,NA,NA,NA,NA,NA
"ABU_033",NA,NA,NA,NA,NA,NA,NA
"ABU_034",NA,NA,NA,NA,NA,NA,NA
"ABU_035",NA,NA,NA,NA,NA,NA,NA
"ABU_036",NA,NA,NA,NA,NA,NA,NA
"ABU_037",NA,NA,NA,NA,NA,NA,NA
"ABU_038",NA,NA,NA,NA,NA,NA,NA
"ABU_039",NA,NA,NA,NA,NA,NA,NA
"ABU_041",NA,NA,NA,NA,NA,NA,NA
"ABU_042",NA,NA,NA,NA,NA,NA,NA
"ABU_043",NA,NA,NA,NA,NA,NA,NA
"ABU_044",NA,NA,NA,NA,NA,NA,NA
"ABU_045",NA,NA,NA,NA,NA,NA,NA
"ABU_046",NA,NA,NA,NA,NA,NA,NA
"ABU_047",NA,NA,NA,NA,NA,NA,NA
"ABU_048",NA,NA,NA,NA,NA,NA,NA
"ABU_049",NA,NA,NA,NA,NA,NA,NA
"ABU_050",NA,NA,NA,NA,NA,NA,NA
"ABU_051",NA,NA,NA,NA,NA,NA,NA
"ABU_052",NA,NA,NA,NA,NA,NA,NA
"ABU_054",NA,NA,NA,NA,NA,NA,NA
"ABU_055",NA,NA,NA,NA,NA,NA,NA
"ABU_056",NA,NA,NA,NA,NA,NA,NA
"ABU_057",NA,NA,NA,NA,NA,NA,NA
"ABU_058",NA,NA,NA,NA,NA,NA,NA
"ABU_059",NA,NA,NA,NA,NA,NA,NA
